"symbol","name","exchange","cik"
"CDY","CARDERO RES","AMEX","1303936"
"CNY","CARVER BNCP","AMEX","0001016178"
"TQ","CASH TECH","AMEX","0001022964"
"ROX","CASTLE BRANDS","AMEX","0001311538"
"CVF","CASTLE CV FUND","AMEX","0000018180"
"CMQ","CATHAY MERCHANT","AMEX","0000352281"
"CAV","CAVALIER HOMES","AMEX","0000789863"
"CAW","CCA INDUSTRIES","AMEX","0000721447"
"SNG","CDN SUPERIOR ENR","AMEX","0001177470"
"CFK","CE FRANKLIN LTD","AMEX","0000912151"
"CVM","CEL-SCI CORP","AMEX","0000725363"
"CLN","CELSION CORP","AMEX","0000749647"
"CVP","CENTERPLATE UT","AMEX","1086774"
"CEF","CENTRAL FUND CDA","AMEX","0000784959"
"GTU","CENTRAL GOLD TR","AMEX","1364728"
"CET","CENTRAL SECURITY","AMEX","0001146055"
"ASB","CENUCO ORD","AMEX","0000843494"
"ENV","CET SERVICES INC","AMEX","0000944627"
"ICZ","CF INDX LASERS B","AMEX","0001311847"
"PCV","CG FUNDING PACER","AMEX","938380"
"CTU","CHAD THERAP","AMEX","0000713492"
"CHQ","CHALLENGER ENERG","AMEX","0001364644"
"CCF","CHASE CORP","AMEX","0000830524"
"CTE","CHASE ORD","AMEX","0001011060"
"LNG","CHENIERE ENERGY","AMEX","0000003570"
"CQP","CHENIERE ENERGY","AMEX","0001383650"
"CVR","CHICAGO RIVET","AMEX","0000019871"
"CRC","CHROMCRAFT","AMEX","0001220957"
"CHV","CHURCHILL VENTRS","AMEX","1367880"
"ECC","CITGRP 8.5% ELKS","AMEX","31660"
"PDW","CITI DJ TITAN 50","AMEX","1385906"
"PPN","CITI DOW JONES","AMEX","1389552"
"AZP","CITI F SF PRI PR","AMEX","764622"
"PDY","CITI GLOBAL MKTS","AMEX","1249070"
"IEL","CITI INDEX LASER","AMEX","906055"
"EIK","CITIGP FUN 9.25%","AMEX","1275034"
"SKN","CITIGP HANG SENG","AMEX","1181335"
"IBF","CITIGP INX LASER","AMEX","820675"
"CGK","CITIGP S&P HMBLD","AMEX","1327435"
"EZC","CITIGROUP FDG %","AMEX","1167105"
"ESK","CITIGROUP FDG EL","AMEX","34046"
"EKC","CITIGROUP FNDG L","AMEX","31235"
"SEM","CITIGROUP FNDG N","AMEX","0001035688"
"EHC","CITIGROUP FUND E","AMEX","1377541"
"EAM","CITIGROUP FUNDIN","AMEX","32931"
"EBC","CITIGROUP FUNDIN","AMEX","1001085"
"EQL","CITIGROUP FUNDIN","AMEX","0001318281"
"PBN","CITIGROUP FUNDIN","AMEX","1192103"
"SSM","CITIGROUP FUNDIN","AMEX","1004643"
"PFT","CITIGROUP FUNDIN","AMEX","0001019787"
"PLR","CITIGROUP FUNDNG","AMEX","79225"
"CZJ","CITIGROUP FUNDNG","AMEX","1033711"
"EYA","CITIGROUP FUNDNG","AMEX","1317545"
"CTH","CITIGROUP FUNDNG","AMEX","1383940"
"PSC","CITIGROUP GL MKT","AMEX","200245"
"IDJ","CITIGROUP GL MKT","AMEX","1228003"
"ILB","CITIGROUP GLBL L","AMEX","0001386164"
"PDD","CITIGROUP GLBL O","AMEX","1299140"
"CAQ","CITIGROUP GLOBAL","AMEX","200245"
"PNJ","CITIGROUP GLOBAL","AMEX","1324491"
"PTS","CITIGROUP GLOBAL","AMEX","1080924"
"PQU","CITIGROUP LK NAS","AMEX","0001386164"
"PCO","CITIGROUP PRIN P","AMEX","0001159119"
"PPI","CITIGROUP PRINCI","AMEX","352994"
"SZN","CITIGROUP STK UP","AMEX","1333724"
"SKJ","CITIGRP FNDG SMU","AMEX","1205424"
"PXX","CITIGRP FUND PAC","AMEX","1063561"
"EKN","CITIGRP FUNDING","AMEX","1292543"
"EAK","CITIGRP LK MICRO","AMEX","1304732"
"SMU=A","CITIGRP MSCI EAF","AMEX","1049493"
"ILY","CITIGRP NIKKEI","AMEX","1369029"
"CKX","CKX LANDS","AMEX","0000352955"
"CGR","CLAUDE RESOURCS","AMEX","0001173924"
"EEN","CLAYM ROBECO DEV","AMEX","936143"
"CSD","CLAYMORE CLEAR S","AMEX","1238686"
"GRN","CLAYMORE LGA GRE","AMEX","0000932699"
"DCR","CLAYMORE MACROSH","AMEX","928599"
"UCR","CLAYMORE MACROSH","AMEX","931148"
"OTP","CLAYMORE OCEAN T","AMEX","1217201"
"EEW","CLAYMORE ROBECO","AMEX","1235419"
"DEF","CLAYMORE SABRIEN","AMEX","1108623"
"EEB","CLAYMORE/BNY BRI","AMEX","1212007"
"NFO","CLAYMORE/SABRIEN","AMEX","897940"
"STH","CLAYMORE/SABRIEN","AMEX","1364089"
"XRO","CLAYMORE/ZACKS S","AMEX","0001367908"
"CVY","CLAYMORE/ZACKS Y","AMEX","0001367908"
"GLQ","CLOUGH GL EQ FD","AMEX","1316463"
"GLO","CLOUGH GLBL OPRT","AMEX","1350869"
"GLV","CLOUGH GLOBAL AL","AMEX","1288795"
"BES","CLYMR BIR LEADER","AMEX","1094518"
"BST","CLYMR BIR LED 50","AMEX","842021"
"BMV","CLYMR BIR LED MC","AMEX","1371708"
"XGC","CLYMR GREAT CO","AMEX","NULL"
"OTR","CLYMR OCEAN TOMO","AMEX","881895"
"CZG","CLYMR ZACKS GRTH","AMEX","NULL"
"CZA","CLYMR ZACKS MC","AMEX","1201255"
"CRV","COAST DISTRIBUTN","AMEX","0000728303"
"JVA","COFFEE HOLDING","AMEX","1007019"
"DRA","COINMACH SVC A","AMEX","1282858"
"DRY","COINMACH UNITS","AMEX","1282858"
"CCA","COL CAL INS","AMEX","0001092896"
"CFX","COL INS MUNI","AMEX","0001092895"
"CDS","COLD SPRING CAPI","AMEX","0001330446"
"BOO","COLLEGIATE PAC O","AMEX","0000828747"
"CFS","COMFORCE","AMEX","0000006814"
"JCS","COMM SYSTEMS","AMEX","0000022701"
"EGR","COMMERCE ENE GRP","AMEX","1274150"
"BTC","COMMUNITY BK","AMEX","1323648"
"SCB","COMMUNITY BKSH","AMEX","0000933590"
"CTT","COMPETITIVE TECH","AMEX","0000102198"
"CGM","CONGOLEUM A ORD","AMEX","0000023341"
"CTO","CONS-TOMOKA","AMEX","0000023795"
"XLY","CONSUMER DISCRE","AMEX","0000860742"
"XLP","CONSUMER STAPLES","AMEX","0000860742"
"MCF","CONTANGO O & G","AMEX","0001071993"
"CNU","CONTINUCARE CP","AMEX","0000803352"
"CUO","CONTNTL MTRLS CP","AMEX","0000024104"
"CVN","CONVERSION SVCS","AMEX","934306"
"CMT","CORE MOLDING ORD","AMEX","0001026655"
"CLM","CORNERSTONE STR","AMEX","814083"
"CRF","CORNERSTONE TOTL","AMEX","0001011148"
"ETQ","CORRIENTE RES","AMEX","0000930701"
"COR","CORTEX PHARM ORD","AMEX","0000849636"
"CRB","COURTSIDE ORD","AMEX","0001376648"
"DVW","COVAD COMUNI GRP","AMEX","1043769"
"CVU","CPI AEROSTRUCT","AMEX","0000889348"
"CIK","CREDIT SUI INCM","AMEX","810766"
"CMD","CRITICARE SYS OR","AMEX","0000812121"
"KRY","CRYSTALLEX INTL","AMEX","0000912500"
"DHY","CS HIGH YLD BD","AMEX","1061353"
"PPJ","CT PRINCI PROTCT","AMEX","1145422"
"CUB","CUBIC ORD","AMEX","0000026076"
"FZN","CUISINE SOLUTION ORD","AMEX","0000737602"
"CLG","CUMBERLAND RSC ORD","AMEX","0001016724"
"CVV","CVD EQUIPMENT","AMEX","0000766792"
"ATC","CYCLE CNTRY ACCS","AMEX","0001157758"
"GTF","CYTOMEDIX","AMEX","1091596"
"DAR","DARLING INTL ORD","AMEX","0000916540"
"DXR","DAXOR CORP","AMEX","0000027367"
"DBC","DB COMMDT TRK FD","AMEX","1328237"
"DRV","DEBT RESOLVE ORD","AMEX","0001106645"
"DII","DECORATOR INDS","AMEX","0000027613"
"DCZ","DECORIZE ORD","AMEX","0001095471"
"VAZ","DELAWARE ARIZONA","AMEX","895577"
"VCF","DELAWARE COLRDO","AMEX","907573"
"VFL","DELAWARE FLORIDA","AMEX","895574"
"VMM","DELAWARE MINN II","AMEX","895658"
"DLA","DELTA APPAREL","AMEX","0001101396"
"DNN","DENISON MINS CRP","AMEX","0001063259"
"DIA","DIAMOND ETF","AMEX","0001041130"
"DOC","DIGITAL ANGEL ORD","AMEX","0000771252"
"DPW","DIGITAL PWR","AMEX","0000896493"
"DIO","DIOMED HLDGS INC","AMEX","0001074874"
"DBX","DJ EURO STOXX 50","AMEX","1320561"
"RWR","DJ WILSHIRE REIT ETF","AMEX","0001064642"
"DMC","DOCUMENT SECURTY","AMEX","0000771999"
"DRJ","DREAMS ORD","AMEX","0000800166"
"DMF","DREYFUS MUNI","AMEX","0000312564"
"DCU","DRYCLEAN USA","AMEX","0000065312"
"DNE","DUNE ENERGY ORD","AMEX","1092839"
"SRQ","DWS RREEF RE FD","AMEX","1179126"
"SRO","DWS RREEF RE II","AMEX","1231160"
"DIL","DYADIC INTL ORD","AMEX","1213809"
"EML","EASTERN CO","AMEX","0001030475"
"EVM","EATN VNC INS CA","AMEX","1177161"
"ENX","EATN VNC INS NY","AMEX","1177162"
"EIM","EATON VNC INSRD","AMEX","1176984"
"EEI","ECOLOGY & ENVIR","AMEX","0001022430"
"EGO","ELDORADO GOLD ORD","AMEX","0000918608"
"ASY","ELECSYS CORP","AMEX","0000914398"
"ELI","ELITE PHARM ORD","AMEX","0001053369"
"ECF","ELLSWORTH FUND","AMEX","793040"
"ETF","EMERGING MKT TEL","AMEX","913662"
"ESC","EMERITUS","AMEX","0001001604"
"MSN","EMERSON RADIO","AMEX","0000032621"
"EFH","EMPIRE FINL HLDG ORD","AMEX","0001094320"
"ERS","EMPIRE RESOURCES ORD","AMEX","0001019272"
"ECI","ENCISION ORD","AMEX","0000930775"
"EDA","ENDEAVOR ACQUISITION ORD","AMEX","858558"
"END","ENDEAVOUR INTL","AMEX","0001112412"
"EXK","ENDEAVOUR SILVER ORD","AMEX","1277866"
"FEN","ENERGY INCM GRTH","AMEX","1284940"
"EII","ENERGY INFRASTRUCTURE ACQ ORD","AMEX","1054556"
"XLE","ENERGY SELEC SPDR ETF","AMEX","1064641"
"ESA","ENERGY SVCS ACQ","AMEX","1357971"
"ENY","ENERNORTH INDS","AMEX","1049021"
"EGX","ENGEX INC","AMEX","0000032598"
"ENG","ENGLOBAL ORD","AMEX","0000933738"
"ENA","ENOVA SYSTEMS","AMEX","0000922237"
"EGI","ENTREE GOLD ORD","AMEX","1271554"
"EPG","ENVIR POWER ORD","AMEX","0000805012"
"ETC","ENVIR TECTONICS","AMEX","0000033113"
"ATF","EQUITY INCOME FD","AMEX","718418"
"ESP","ESPEY MFG & ELEC","AMEX","0001321399"
"EIA","ETN VNC CA FD II","AMEX","1196869"
"EIF","ETN VNC FL MUNI","AMEX","1196870"
"MAB","ETN VNC MA MUNI","AMEX","1196871"
"MIW","ETN VNC MI MUNI","AMEX","1196872"
"EIV","ETN VNC MUNI II","AMEX","1196867"
"EMJ","ETN VNC NJ MUNI","AMEX","1196874"
"NYH","ETN VNC NY FD II","AMEX","1196875"
"EIO","ETN VNC OH MUNI","AMEX","1196876"
"EIP","ETN VNC PA MUNI","AMEX","1196877"
"CEV","EV CA MUNI INCM","AMEX","1074692"
"FEV","EV FL MUNI INCM","AMEX","1074684"
"EVV","EV LTD DURATION","AMEX","0001222922"
"MMV","EV MA MUNI INCM","AMEX","1074690"
"EMI","EV MI MUNI INCM","AMEX","1074688"
"EVJ","EV NJ MUNI INCM","AMEX","1074691"
"EVY","EV NY MUNI INCM","AMEX","1074685"
"EVO","EV OH MUNI INCM","AMEX","1074686"
"EVP","EV PA MUNI INCM","AMEX","1074687"
"EAD","EVERGREEN INCOME","AMEX","1210123"
"ERH","EVERGREEN UTILS","AMEX","1279014"
"ERC","EVERGRN MGD INCM","AMEX","1227073"
"EPM","EVOLUTION PETRO","AMEX","1006655"
"XRA","EXETER RESOURCES ORD","AMEX","1097068"
"XPO","EXPRESS-1","AMEX","0001166003"
"EXX.A","EXX CL A","AMEX","89261"
"EXX.B","EXX CL B","AMEX","89261"
"FDT","FED TRUST CORP","AMEX","0000842640"
"FPP","FIELDPOINT PETE ORD","AMEX","316736"
"XLF","FINANCIAL SELEC SPDR ETF","AMEX","1339869"
"MXN","FIRST AMRCN MINN","AMEX","1183829"
"ISL","FIRST ISRAEL","AMEX","865277"
"FVL","FIRST TRST VL","AMEX","1228391"
"FBT","FIRST TRUST BIOTECH INDEX CF ETF","AMEX","1011033"
"FDV","FIRST TRUST DB STRTGC VALUE INDX ETF","AMEX","1095399"
"FDM","FIRST TRUST DJ SEL MICROCAP INDX ETF","AMEX","1329377"
"FDN","FIRST TRUST INTERNET INDEX CF ETF","AMEX","835767"
"FPX","FIRST TRUST IPOX 100 INDEX ETF","AMEX","38242"
"FDL","FIRST TRUST MORNINGSTAR DIV LDRS ETF","AMEX","1198680"
"FPI","FIRST TRUST TAX ADVANTAGE ETF","AMEX","1356750"
"FVD","FIRST TRUST VALUE DIVIDEND INDEX ETF","AMEX","1244943"
"FVI","FIRST TRUST VALUE LINE EQU INDEX ETF","AMEX","1264352"
"FVE","FIVE STAR QUAL ORD","AMEX","0001159281"
"FTF","FKLN LTD DR INCM","AMEX","1233087"
"NWF","FL TX FREE ADVTG","AMEX","1196362"
"FPU","FLA PUBL UTIL","AMEX","0000037643"
"BDL","FLANIGANS ENTR","AMEX","0000012040"
"FLT","FLIGHT SAFETY","AMEX","0001144879"
"FTK","FLOTEK INDS ORD","AMEX","0000928054"
"FFI","FORTUNE INDUS","AMEX","851249"
"FPB","FOUNTAIN PWRBOAT ORD","AMEX","0000764858"
"FXX","FOXBY CORP","AMEX","1068897"
"FEP","FRANKLIN ELECTNC","AMEX","0000356841"
"FSP","FRANKLIN ST PROP","AMEX","1031316"
"FRH","FREEDOM ACQUISITION HOLDINGS ORD","AMEX","1365790"
"FRD","FRIEDMAN INDS","AMEX","0000039092"
"FRN","FRIENDLY ICE CRE","AMEX","0000039135"
"FRS","FRISCH'S REST","AMEX","0000039047"
"FRG","FRONTEER DEV GP ORD","AMEX","1271129"
"FSI","FRSCALE SEMICOND ORD","AMEX","0001069394"
"FWV","FST W VIRGINIA","AMEX","0000037049"
"FCM","FT 4 CRNR SNR FL","AMEX","1232461"
"FLL","FULL HOUSE RESOR ORD","AMEX","891482"
"FSN","FUSION TELECOM ORD","AMEX","0001071411"
"GGN","GABELLI GL GOLD","AMEX","1313510"
"GLU","GABELLI GLBL TR","AMEX","1282957"
"GAN","GAINSCO","AMEX","786344"
"GAX","GALAXY ENERGY","AMEX","1132784"
"GRS","GAMMON LAKE RSC ORD","AMEX","0001078217"
"GSX","GASCO ENERGY ORD","AMEX","0001086319"
"GST","GASTAR EXPLORATION ORD","AMEX","0001170154"
"JOB","GENERAL EMPLOYMT","AMEX","0000040570"
"GFN","GENERAL FINANCE ORD","AMEX","1342287"
"GEL","GENESIS ENERGY","AMEX","0001022321"
"GAC","GENEVA ACQ CORP","AMEX","1367660"
"GGR","GEOGLOBAL RESOURCES ORD","AMEX","896726"
"GPR","GEOPETRO RES","AMEX","1097313"
"GLE","GLENCAIRN GOLD","AMEX","0001311967"
"GEE","GLOBAL ENTERTMNT","AMEX","885780"
"GIF","GLOBAL INCM FD","AMEX","0001002519"
"GLA","GLOBAL LOG ASQ","AMEX","1338401"
"GRZ","GOLD RESERVE","AMEX","0001072725"
"GSS","GOLDEN STAR ORD","AMEX","0000903571"
"GV","GOLDFIELD CORP","AMEX","0001167886"
"GTA","GOLF TRUST AMER","AMEX","0001024126"
"GRC","GORMAN-RUPP CO","AMEX","0000042682"
"GOV","GOUVERNEUR BNCP","AMEX","0001063942"
"GHM","GRAHAM CORP","AMEX","0001018401"
"GHN","GRANAHAN MC CURT","AMEX","1369639"
"GBN","GREAT BASIN GOLD","AMEX","0000865492"
"GW","GREY WOLF ORD","AMEX","0000320186"
"GAV","GRUBB & ELLIS","AMEX","1341769"
"SIM","GRUPO SIMEC ADR","AMEX","887153"
"GVP","GSE SYSTEMS","AMEX","0000944480"
"HX","HALIFAX CORP","AMEX","0001207751"
"HWG","HALLWOOD GROUP ORD","AMEX","0000355766"
"HTI","HALOZYME THERAPEUTICS ORD","AMEX","1159036"
"HCM","HANOVER CAP ORD","AMEX","0001040719"
"HAC","HARBOR ACQUISITION ORD","AMEX","1331945"
"HEC","HARKEN ENERGY CP","AMEX","0000313478"
"HA","HAWAIIAN HLDGS ORD","AMEX","0001172222"
"HWK","HAWK CORP","AMEX","0000849240"
"HDP","HD PARTNERS AQUISITION ORD","AMEX","1347006"
"XLV","HEALTH CARE SELC SPDR ETF","AMEX","1103052"
"HAQ","HEALTHCARE ACQ ORD","AMEX","1326190"
"EAR","HEARUSA INC","AMEX","0000821536"
"HEB","HEMISPHERX BIO","AMEX","0000946644"
"HEM","HEMOSENSE","AMEX","0001127393"
"HBE","HENRY BROS ELEC ORD","AMEX","1099918"
"HT","HERSHA HOSP","AMEX","0001063344"
"HSR","HI-SHEAR TECH","AMEX","0000918027"
"HMG","HMG CORTLAND","AMEX","0000311817"
"MKH","HOLDRS MRKT2000+","AMEX","1376822"
"WMH","HOLDRS WIRELESS","AMEX","1367557"
"HH","HOOPER HOLMES ORD","AMEX","0000741815"
"HGO","HOUSTON AMR ENE","AMEX","1156041"
"HTC","HUNGARIAN TEL ORD","AMEX","0000889949"
"HDY","HYPERDYNAMICS ORD","AMEX","937136"
"IG","I G I INC","AMEX","0001009395"
"DMX","I-TRAX INC","AMEX","0001110189"
"IAO","IA GLOBAL INC","AMEX","0001077634"
"IRW","IBT BANCORP INC","AMEX","0000801122"
"GMO","IDAHO GEN MINES","AMEX","1275229"
"IDP","IDERA PHARMA ORD","AMEX","861838"
"ILC","ILINC COMMS INC","AMEX","0001042291"
"ILX","ILX RESORTS INC","AMEX","0001273895"
"IMR","IMA EXPLORATION ORDINARY.","AMEX","1102706"
"IW","IMAGEWARE SYSTEM","AMEX","0000941685"
"IIG","IMERGENT ORD","AMEX","0001075736"
"IMM","IMMTECH PHARMACEUTICALS ORD","AMEX","0000882509"
"IMO","IMPERIAL OIL ORD","AMEX","0000049938"
"IMX","IMPLANT SCIENCES","AMEX","0001068874"
"IOT","INCOME OPPORT","AMEX","0000949961"
"IGC","INDIA GLBL CPTL","AMEX","1326205"
"IF","INDONESIA FD INC","AMEX","859120"
"XLI","INDUSTRIAL SELEC SPDR ETF","AMEX","1103045"
"III","INFORMATION SVRS","AMEX","1371489"
"IGR","ING CLARION GLOBAL REAL ESTATE ETF","AMEX","1268884"
"IIA","ING CLARION REAL ESTATE INCOME CF","AMEX","1254634"
"IHT","INNSUITES HOSPIT","AMEX","0000082473"
"INO","INOVIO BIO ORD","AMEX","1055726"
"ISV","INSITE VISION","AMEX","0000802724"
"INS","INTEL SYS CP","AMEX","0000320340"
"IDN","INTELLI CHECK","AMEX","0001040896"
"ILI","INTERLEUKIN GNTS","AMEX","0001037649"
"ROY","INTERNATIONAL ROYALTY ORD","AMEX","1390817"
"IOC","INTEROIL ORD","AMEX","0001221715"
"IPA","INTERPHARM HLDS ORD","AMEX","0000893970"
"IGO","INTERSEARCH GROUP ORD","AMEX","0001341470"
"IAX","INTL ABSORBENTS","AMEX","0000813634"
"IFK","INTL FIN CP MITT","AMEX","0001310525"
"IIN","INTRICON ORD","AMEX","0000088790"
"ICH","INV CAP HLDGS","AMEX","0001001871"
"IMA","INVERNESS MED","AMEX","0001145460"
"IOX","IOMED INC","AMEX","0001041652"
"ION","ION MEDIA NET A","AMEX","0001240854"
"IPT","IPARTY CORP","AMEX","0001078383"
"ISO","ISCO INTERNATNL","AMEX","0000888693"
"IAU","iSHARES COMEX ETF","AMEX","1278680"
"DSI","ISHARES KLD 400 SOCIAL INDEX ETF","AMEX","1100663"
"AGG","ISHARES LEHMAN AGGREGATE BOND ETF","AMEX","1331932"
"MBB","ISHARES LEHMAN MBS FIXED RT BND ETF","AMEX","887202"
"IBB","iSHARES NAS BIO ETF","AMEX","1082741"
"OEF","iSHARES S&P100 ETF","AMEX","1339836"
"SLV","ISHARES SILVER TRUST ETF","AMEX","879425"
"LQD","ISHARES TR IBOXX $ INVESTOP INVT ETF","AMEX","0001179445"
"SHY","ISHARES TRUST LEHMN 1-3 YR FD ORD","AMEX","844680"
"TLT","ISHARES TRUST LEHMN 20 FD ORD","AMEX","1100663"
"IEF","ISHARES TRUST LEHMN 7-10 YR FD ORD","AMEX","1080658"
"PFF","ISHR S&P US PREF","AMEX","1004969"
"HYG","ISHS IBXX $ HGH YIELD CRPRTE BND ETF","AMEX","1059161"
"ILE","ISOLAGEN ORD","AMEX","0001169534"
"ISR","ISORAY ORD","AMEX","0001020017"
"ITI","ITERIS ORD","AMEX","0000350868"
"IVD","IVAX DIAGNOSTICS","AMEX","0001095858"
"II","IVIVI TECH","AMEX","1316925"
"JAX","J ALEXANDERS","AMEX","0000103884"
"JLN","JACLYN INC","AMEX","0000052969"
"JAV","JAVELIN PHARMA","AMEX","50710"
"JAZ","JAZZ TECHNOLOGIES ORD","AMEX","1337675"
"JDO","JED OIL ORD","AMEX","1258021"
"JEN","JEN HSIN SEC ORD","AMEX","0000806817"
