"name","symbol","CIK"
"FRONTLINE COMMS","FNT","0001331875"
"FST NATIONAL","FNC",NULL
"FST W VIRGINIA","FWV",NULL
"FURRS RESTAURANT","FRG",NULL
"GA FINANCIAL","GAF",NULL
"GALAXY NUTRITIONAL","GXY",NULL
"GB HOLDINGS","GBH",NULL
"GEN EMPLOYMENT","JOB",NULL
"GENESIS BIOVENT","GBI",NULL
"GENESIS ENERGY","GEL","0001022321"
"GENETRONICS BIO","GEB","0001055726"
"GENSTAR THERA","GNT",NULL
"GLACIER WATER","HOO",NULL
"GLOBAL INCOME","GIF",NULL
"GOLDFIELD","GV",NULL
"GOLF TRUST AMER","GTA",NULL
"GORMAN RUPP","GRC",NULL
"GOUVERNEUR BNCP","GOV",NULL
"GRAHAM","GHM",NULL
"GREENBRIAR","GBR",NULL
"GREENMAN TECH","GRN",NULL
"GREY WOLF","GW",NULL
"GRISTEDES FOODS","GRI",NULL
"GRUPO SIMEC ADR","SIM",NULL
"GSE SYSTEMS","GVP",NULL
"HALIFAX","HX",NULL
"HALLMARK FINCL","HAF",NULL
"HALLWOOD GROUP","HWG",NULL
"HALLWOOD REALTY UNT","HRY",NULL
"HANOVER CAP","HCM","0001040719"
"HANOVER DIRECT","HNV",NULL
"HARKEN ENERGY","HEC",NULL
"HAROLDS STORES","HLD",NULL
"HASTINGS MFG","HMF",NULL
"HAWAIIAN HLDGS","HA","0001172222"
"HEADWAY CP RSCS","HEA",NULL
"HEALTH CARE SLCT SECTOR SPDR F","XLV",NULL
"HEARTLAND PTNRS","HTL",NULL
"HEARUSA","EAR",NULL
"HECTORS COMM","HCT",NULL
"HEMISPHERX BIO","HEB",NULL
"HERSHA HOSPITLTY STK A","HT","0001063344"
"HI SHEAR TECH","HSR",NULL
"HLM DESIGN","HMD",NULL
"HMG COURTLAND","HMG",NULL
"HOLLY","HOC",NULL
"HOLLYWOOD CASINO STK A","HWD",NULL
"HOOPER HOLMES","HH",NULL
"HORIZON MEDICAL","HMP",NULL
"HSPC","HDR",NULL
"HUNGARIAN TEL","HTC",NULL
"I TRAX","DMX","0001110189"
"IA GLOBAL","IAO",NULL
"IAMGOLD","IAG",NULL
"IDINE REWARDS","IRN",NULL
"IGI","IG",NULL
"ILX RESORTS","ILX",NULL
"IMAGEWARE SYS","IW",NULL
"IMPAC MORTGAGE","IMH","0001000298"
"IMPERIAL OIL","IMO",NULL
"IMPERIAL PARKING","IPK",NULL
"IMPLANT SCIENCES","IMX",NULL
"INCOME OPP RLTY","IOT",NULL
"INDUSTRIAL SEL SPDR ETF","XLI",NULL
"INNSUITES HOSPIT","IHT",NULL
"INSITE VISION","ISV",NULL
"INTELLI CHECK","IDN","0001040896"
"INTELLIGENT SYS","INS",NULL
"INTERLOTT TECH","ILI",NULL
"INTERMEDIATE MUNI FUND FD","SBI",NULL
"INTERNET ARCH ETF ADR","IAH",NULL
"INTERNET INFRAST ML ETF ADR","IIH",NULL
"INTERSTATE GEN","IGC",NULL
"INTL AIR SUPPORT","YLF",NULL
"INTL REMOTE","IRI",NULL
"INV CAP HLDGS","ICH",NULL
"INVERNESS MED","IMA","0001145460"
"IOMED","IOX",NULL
"IPARTY","IPT",NULL
"ISCO INTL","ISO",NULL
"ISHARES","EPP",NULL
"ISHARES AUSTRAL","EWA",NULL
"ISHARES AUSTRIA","EWO",NULL
"ISHARES BELGIUM","EWK",NULL
"ISHARES BRAZIL","EWZ",NULL
"ISHARES CANADA","EWC",NULL
"ISHARES GLDMAN","IGE",NULL
"ISHARES HONG KNG","EWH",NULL
"ISHARES LEHMAN","IEF",NULL
"ISHARES MSCI FRN","EWQ",NULL
"ISHARES MSCI JAP","EWJ",NULL
"ISHARES MSCI MEX","EWW",NULL
"ISHARES MSCI S KOREA INDEX FD","EWY",NULL
"ISHARES MSCI SNG","EWS",NULL
"ISHARES MSCI TAI FD","EWT",NULL
"ISHARES MSCI UK","EWU",NULL
"ISHARES NETHRLND","EWN",NULL
"ISHARES S&P LAT","ILF",NULL
"ISHARES S&P/TOPX","ITF",NULL
"ISHARES SPAIN FD","EWP",NULL
"ISHARES SWEDEN","EWD",NULL
"ISHARES TR 20 YR","TLT",NULL
"ISHARES TREAS BD","SHY",NULL
"ISHARES TRUST","IGN",NULL
"ISHARES TRUST","IGV",NULL
"ISHARES TRUST","IYC",NULL
"ISHARES TRUST","IYJ",NULL
"ISHARES TRUST","IYK",NULL
"ISHARES TRUST","IYM",NULL
"ISHARES TRUST COHEN FD","ICF",NULL
"ISHARES TRUST GLDMN SEMI IDX F","IGW",NULL
"ISHARES TRUST GOLDMN","IGM",NULL
"ISHARES TRUST GS INVESTOP FD","LQD",NULL
"ISHARES TRUST RUSL 2000 IDX FD","IWM",NULL
"ISHARES TST","EFA",NULL
"ISHR DJ FINL SVC","IYG",NULL
"ISHR RUS MDCP","IWR",NULL
"ISHR RUS MDCP GR","IWP",NULL
"ISHR RUS MDCP VL","IWS",NULL
"ISHRS DJ ENERGY","IYE",NULL
"ISHRS DJ HLTHCRE","IYH",NULL
"ISHRS DJ TOT MKT","IYY",NULL
"ISHRS DJ UTL IDX","IDU",NULL
"ISHS S&P GBL FIN","IXG",NULL
"ISHS S&P GBL NRG","IXC",NULL
"ISHS S&P GBL NRG","IXP",NULL
"ISHS S&P HEALTH","IXJ",NULL
"ISHS SP GBL IT","IXN",NULL
"ISOLAGEN","ILE",NULL
"IVAX","IVX",NULL
"IVAX DIAGNOSTICS","IVD","0001095858"
"J ALEXANDERS","JAX",NULL
"JACLYN","JLN",NULL
"JOHN HAMM HOTEL STK A","JQH",NULL
"JOULE","JOL",NULL
"KADANT","KAI",NULL
"KANKAKEE BANK","KNK",NULL
"KEANE","KEA",NULL
"KENTUCKY FIRST","KYF",NULL
"KFX","KFX",NULL
"KINARK","KIN",NULL
"KING PWR GP","KPG",NULL
"KINROSS GOLD","KGC",NULL
"LABARGE","LB",NULL
"LADENBURG THALMN","LTS","0001029730"
"LAIDLAW GLOBAL","GLL",NULL
"LANCER","LAN",NULL
"LANNETT","LCI",NULL
"LASER TECHNOLOGY","LSR",NULL
"LAZARE KAPLAN","LKI",NULL
"LCM INTERNET","FND",NULL
"LEATHER FACTORY","TLF",NULL
"LEHMAN S&P SUNS NOTES","SPJ",NULL
"LIFEPOINT","LFP",NULL
"LIFESTREAM TECH","KFL",NULL
"LILLIAN VERNON","LVC",NULL
"LIONS GATE ENTER","LGF",NULL
"LODGIAN INC","LGN","0001066138"
"LUKI CONSTRUCT","LKC",NULL
"LYNCH","LGL",NULL
"LYNCH INTER","LIC",NULL
"M LYNCH 225MITT","NML",NULL
"MAD CATZ INTRACT","MCZ",NULL
"MAGIC LANTERN","GML",NULL
"MAGNUM HUNTER","MHR",NULL
"MAI SYSTEMS","NOW",NULL
"MAINE PUBLIC SVC","MAP",NULL
"MARINE PRODUCTS","MPX","0001129155"
"MARKWEST ENERGY UN","MWE","0001166036"
"MARLTON","MTY",NULL
"MARNETICS BRD","MXB",NULL
"MARWEST HYDRO","MWP","0001019756"
"MASSACHUSSETS HLTH & ED TX EX ","MHE",NULL
"MATERIALS SELECT SECTOR SPDR F","XLB",NULL
"MAUI LD PINEAP","MLP",NULL
"MAXXAM","MXM",NULL
"MAYORS JEWELERS","MYR",NULL
"MC SHIPPING","MCX",NULL
"MCRAE STK A","MRI.A",NULL
"MCRAE STK B","MRI.B",NULL
"MEASUREMENT SPCL","MSS",NULL
"MED TECH SYS","MPP",NULL
"MEDIX RESOURCES","MXR",NULL
"MEDTOX SCIENT","TOX",NULL
"MEMRY","MRY",NULL
"MENATRON","NMN",NULL
"MER LYN TP","MTT",NULL
"MERCHANTS GROUP","MGP",NULL
"MERCURY AIR","MAX",NULL
"MERITAGE HOSP","MHG",NULL
"MERR LYN EUROP","MEM",NULL
"MERRIL LYNCH MRN","MRZ",NULL
"MERRILL LYNCH","EUF",NULL
"MERRILL LYNCH","MLF",NULL
"MERRILL LYNCH 8% GAP STRIDES D","GSY",NULL
"MERRILL LYNCH 8% STRIDES BOA","BKC",NULL
"MERRILL LYNCH AMGEN STRIDES DE","ASZ",NULL
"MERRILL LYNCH BIO PHARM IDX NT","DMP",NULL
"MERRILL LYNCH CALLABLE RTN INC","AMW",NULL
"MERRILL LYNCH CALLABLE RTN INC","EMH",NULL
"MERRILL LYNCH CONSUMER MITTS","CSM",NULL
"MERRILL LYNCH DEB","SNQ",NULL
"MERRILL LYNCH DELL STRIDES DEB","DLE",NULL
"MERRILL LYNCH DJ MITTS","MDJ",NULL
"MERRILL LYNCH ENERGY MITTS","ESY",NULL
"MERRILL LYNCH ETF ADR","MKH",NULL
"MERRILL LYNCH EUROFUND","EFM",NULL
"MERRILL LYNCH GROWTH MITTS","GWM",NULL
"MERRILL LYNCH HEWLETT PCKRD","HSQ",NULL
"MERRILL LYNCH INTERNET MITTS","IHM",NULL
"MERRILL LYNCH LKD INDSTRL 15 N","DCV",NULL
"MERRILL LYNCH MITTS AMEX DFS I","DFM",NULL
"MERRILL LYNCH MITTS BIOTCHNOLG","BMA",NULL
"MERRILL LYNCH MJR 11 INTL MITT","EUM",NULL
"MERRILL LYNCH NASDAQ 100 MITTS","MNM",NULL
"MERRILL LYNCH NIK 225 MITTS","NKM",NULL
"MERRILL LYNCH NIKKEI 225 MITTS","MLJ",NULL
"MERRILL LYNCH NIKKEI 225 MKT D","MNK",NULL
"MERRILL LYNCH NIKKEI MITTS","MLN",NULL
"MERRILL LYNCH NSDQ 100 LKD NT ","NSD",NULL
"MERRILL LYNCH RTN INCM DBT SEC","XLL",NULL
"MERRILL LYNCH RUSSELL 2000 MIT","RRM",NULL
"MERRILL LYNCH RUSSELL 2000 MIT","RUM",NULL
"MERRILL LYNCH S&P","FML",NULL
"MERRILL LYNCH S&P 500 MITTS","MKP",NULL
"MERRILL LYNCH S&P 500 MITTS","MPF",NULL
"MERRILL LYNCH S&P 500 MITTS 20","MCP",NULL
"MERRILL LYNCH S&P 500 MITTS DE","MLW",NULL
"MERRILL LYNCH SLCT TEN IDX","DSZ",NULL
"MERRILL LYNCH SLCT TEN IDX NT ","DMD",NULL
"MERRILL LYNCH SPDR FUND MITTS","ESM",NULL
"MERRILL LYNCH STR RT NT 10 IND","DSO",NULL
"MERRILL LYNCH STR RT NT 15 (IX","DSE",NULL
"MERRILL LYNCH STR RT NT DEB","DSN",NULL
"MERRILL LYNCH STR RT NT OIL NA","OGN",NULL
"MERRILL LYNCH STRATEGIC RETURN","DSI",NULL
"MERRILL LYNCH STRBCKS CALL DEB","LAT",NULL
"MERRILL LYNCH STRGC RETRN NT L","DTY",NULL
"MERRILL LYNCH STRGC RTN NT SLC","DSA",NULL
"MERRILL LYNCH STRIDES ADOBE 8 ","ADY",NULL
"MERRILL LYNCH STRIDES DEB","BDQ",NULL
"MERRILL LYNCH STRIDES DEB","CSN",NULL
"MERRILL LYNCH STRTGC NTS EURO ","EST",NULL
"MERRILL LYNCH STRTGC RTN NT LN","DSK",NULL
"MERRILL LYNCH TELEBRAS INDX DE","PGT",NULL
"MERRILL LYNCH TX INS 8% STRIDE","TST",NULL
"MERRIMAC","MRM",NULL
"METRO INTL GP","MMG",NULL
"MICHAEL ANTHONY","MAJ",NULL
"MICHAEL BAKER","BKR",NULL
"MID PENN BANCP","MBP",NULL
"MIDSOUTH BANC","MSL",NULL
"MILESTONE SCIEN","MS",NULL
"MINE SAFETY APPL","MSA",NULL
"MINNESOTA MUNI INC PORT FD","MXA",NULL
"MINNESOTA MUNI TRM TR II FD","MNB",NULL
"MIRAMAR MINING","MNG",NULL
"MISSION WEST","MSW","0001067419"
"ML BD NDX NOTES DEB","BNX",NULL
"ML BIOTECH HLDR ETF ADR","BBH",NULL
"ML BIOTECH IDX NOTES","BPN",NULL
"ML CG 7%STRIDES","CGR",NULL
"ML DOW JONES MITTS DEB","MKO",NULL
"ML GLOB MITTS","GMM",NULL
"ML INDUSTRIAL 15 NOTES","DSP",NULL
"ML INTERNET ETF ADR","HHH",NULL
"ML MITTS BIO","BHM",NULL
"ML MITTS BRDBAND","BDM",NULL
"ML SEL TEN IDX DEB","DSJ",NULL
"MONTANA MILLS","MMX",NULL
"MOORE MEDICAL","MMD",NULL
"MORGAN STANLEY 10% QTRLY RDMTN","MQC",NULL
"MORGAN STANLEY 10% SPARKS DEB","SBM",NULL
"MORGAN STANLEY 10% SPARQS","MSP",NULL
"MORGAN STANLEY 3% 08/03 TRIGGE","TGM",NULL
"MORGAN STANLEY 7% SPARQS CNV P","SQK",NULL
"MORGAN STANLEY 8% QTRLY RDMTN ","MOR",NULL
"MORGAN STANLEY 8% SPARQS DEB","TIS","0001324189"
"MORGAN STANLEY BRIDGES","BGD",NULL
"MORGAN STANLEY BRIDGES","TPA",NULL
"MORGAN STANLEY DEFENSE BRIDGES","DFB",NULL
"MORGAN STANLEY MIDCP 400 BRIDG","MCB",NULL
"MORGAN STANLEY PERQS NOKIA","RPN",NULL
"MORGAN STANLEY PHARM IDX BRIDG","DRU",NULL
"MORGAN STANLEY SPARQS","BCQ",NULL
"MORGAN STANLEY SPARQS DEB","SPK",NULL
"MORGAN STANLEY SPARQS GAP DEB","MGY",NULL
"MORGANS FOODS","MR",NULL
"MOVIE STAR","MSI",NULL
"MRGN STNLY PERKS","BTP",NULL
"MS DEAN WITTER","PKA",NULL
"MS DEAN WITTER BASKET EXCH SEC","BXB",NULL
"MS DEAN WITTER DEB","MJP",NULL
"MS DEAN WITTER DEB","RPX",NULL
"MS DEAN WITTER PERKS NAS 100 D","PPN",NULL
"MS DEAN WITTER RUSL 2000 BRIDG","RBG",NULL
"MS DEAN WITTER S&P 500 BRIDGES","BRD",NULL
"MS DEAN WT 6%","RCP",NULL
"MS DJ INDSTL AV","DMJ",NULL
"MS DW BOXES","RXB",NULL
"MS HI TECH","MTK",NULL
"MS INTERNET IDX","MII",NULL
"MSCI EMU IDX FD","EZU",NULL
"MUNIINSURED FD","MIF",NULL
"MUNIVEST FD","MVF",NULL
"MUNIYIELD ARIZONA FD","MZA",NULL
"N AMER PALLADIUM","PAL",NULL
"NABORS","NBR","0001163739"
"NASDAQ 100 TRUST ETF","QQQ",NULL
"NATIONAL HEALTH","NHC","0001047335"
"NATIONAL VISION","NVI",NULL
"NATL BEVERAGE","FIZ",NULL
"NATL HLTH REALTY","NHR","0001047334"
"NATURAL GAS SERV","NGS","0001084991"
"NBC CAPITAL","NBY",NULL
"NCE PETROFND TR UN","NCN",NULL
"NE REALTY ASSOC","NEN",NULL
"NEUBERGER CA FD","NBW",NULL
"NEUBERGER MUNI FD","NBH",NULL
"NEUBERGER NY FD","NBO",NULL
"NEW DRAGON ASIA","NWD","0001089590"
"NEWTEK CAPITAL","NKC",NULL
"NIMBUS GROUP","NMC",NULL
"NORDIC AMER TANK","NAT",NULL
"NORTHEAST BANCP","NBN",NULL
"NORTHERN TECH","NTI",NULL
"NSTOR TECHNOLGY","NSO",NULL
"NTN COM","NTN",NULL
"NUV CA TAX FREE","NKX",NULL
"NUV FLA TAX FREE","NWF",NULL
"NUV INS TAX FREE","NEA",NULL
"NUV MA TAX FREE","NGX",NULL
"NUV NY TAX FREE","NRK",NULL
"NUVEEN ARIZONA","NFZ",NULL
"NUVEEN AZ DIV","NKR",NULL
"NUVEEN AZ DIV","NXE",NULL
"NUVEEN CA DIVIDE FD","NVX",NULL
"NUVEEN CA DV ADV","NZH",NULL
