"name","symbol","CIK"
"BLACKROCK NJ","RNJ","902731"
"BLACKROCK NJ MUN BOND TR","BLJ","1169031"
"BLACKROCK NY INV QUA MU TR FD","RNY","902717"
"BLACKROCK PA","BPS","1089821"
"BLACKROCK VA MUN BOND TR","BHV","1169034"
"BLAIR","BL","0000071525"
"BLCKROCK CA II","BCL","1176196"
"BLCKROCK MUNI II","BLE","1176194"
"BLCKROCK NY II","BFY","1176197"
"BLONDER TONGUE","BDR","0001000683"
"BNP RESIDENTIAL","BNP","0000812150"
"BOLT TECHNOLOGY","BTJ","0000354655"
"BOOTS & COOTS","WEL","0000833845"
"BOSTONFED BANC","BFD","1386369"
"BOUNDLESS","BND","790816"
"BOWL AMERICA STK A","BWL.A","13573"
"BRIDGE VIEW","BVB","1022809"
"BRILLIANT DIGIT","BDE","0001304069"
"BRIT AM TOBACCO ADR","BTI","799853"
"BROADBAND HOLDRS ML ETF ADR","BDH","901827"
"BRUNSWICK BANCP","BRB","771614"
"CABLETEL COMM","TTV","1277322"
"CADAPULT GRAPHIC","GFX","1024022"
"CAGLES STK A","CGL.A","16104"
"CALTON","CN","0001305755"
"CAMBIOR","CBJ","0000922354"
"CAMDEN NATIONAL","CAC","0000750686"
"CANNON EXPRESS","AB","0000825313"
"CANTERBURY PARK","ECP","0000926761"
"CANYON RSC","CAU","0000739460"
"CAP PAC HLDGS","CPH","813945"
"CAP PROPERTIES","CPI","0000202947"
"CAP ROCK ENERGY","RKE","0001129162"
"CAPITAL ALLIANCE","CAA","0001021422"
"CAPITAL TRUST STK A","CT","0001061630"
"CARBON ENERGY","CRB","1321544"
"CARDIOTECH INTL","CTE","0001011060"
"CAREERENGINE NET","CNE","1349237"
"CARMEL CONTAINER","KML","1205777"
"CARVER BNCP","CNY","0001016178"
"CASH TECH","TQ","0001022964"
"CASTLE CONVERTIBLE FD","CVF","18180"
"CD&L","CDV","0001000779"
"CDN SUPERIOR","SNG","0001177470"
"CE FRANKLIN","CFK","0000912151"
"CEL SCI","CVM","0000725363"
"CELSION","CLN","0000749647"
"CENT SECURITIES","CET","18748"
"CENTRAL FUND CDA","CEF","784959"
"CET ENVIRONMTL","ENV","944627"
"CHAD THERAPEUTIC","CTU","0000713492"
"CHARTER MUN MTGE","CHC","0001043325"
"CHENIERE ENERGY","CXY","16873"
"CHICAGO RIVET","CVR","0000019871"
"CIM HIGH YIELD","CIM","821466"
"CITIZENS HOLDING","CIZ","0001075706"
"COAST DISTR","CRV","0000728303"
"COGENT COMMS GP","COI","1158324"
"COGNITRONICS","CGN","21438"
"COLLEGIATE PAC","BOO","0000828747"
"COLONIAL CAL INS","CCA","1092896"
"COLONIAL INS","CFX","1092895"
"COLONIAL NY INS","CNM","1092897"
"COLUMBIA LABS","COB","821995"
"COMFORCE","CFS","0000006814"
"COMMODORE APPL","CXI","1013556"
"COMMUNITY BKSH","SCB","0000894508"
"COMMUNITY CAPTL","CYL","832847"
"COMPETITIVE TECH","CTT","0000102198"
"COMPUTER THERMAL","CIO","1021853"
"CONGOLEUM","CGM","0000023341"
"CONS TOMOKA","CTO","0000023795"
"CONSUMER DISCRTN SPDR FD","XLY","0000860742"
"CONSUMER STAPLES SPDR ETF","XLP","0000860742"
"CONTANGO O & G","MCF","0001071993"
"CONTINUCARE","CNU","0000803352"
"CONTL MATERIALS","CUO","0000024104"
"CORE MOLDING","CMT","0001026655"
"CORNERSTONE","CBN","0001079385"
"CORRPRO","CO","0000907072"
"CORTEX PHARM","COR","0000834632"
"CPI AEROSTRUCT","CVU","0000889348"
"CREATIVE COMP","CAP","0000712815"
"CROSS MARKETING","XMM","895421"
"CRYSTALLEX INTL","KRY","0000912500"
"CUBIC","CUB","0000026076"
"CVD EQUIPMENT","CVV","0000766792"
"CVF TECHNOLOGIES","CNV","1032997"
"CYBERGUARD","CFW","1253710"
"CYBEX INTL","CYB","0000060876"
"DANIELSON HLD","DHC","0000225648"
"DARLING INTL","DAR","0000916540"
"DAXOR","DXR","0000027367"
"DECORATOR INDS","DII","0000027613"
"DECORIZE","DCZ","1095471"
"DEL INV AZ MUNI FD","VAZ","895577"
"DEL INV CO MUNI FD","VCF","907573"
"DEL INV FL MUNI FD","VFL","895574"
"DEL INV MN FD II FD","VMM","895658"
"DEL INV MN FDIII FD","VYM","910347"
"DEL INV MN MUNI FD","VMN","895658"
"DEL LABORATORIES","DLI","27751"
"DELTA APPAREL","DLA","0001101396"
"DEPOMED","DMI","1005201"
"DEVON ENERGY","DVN","0001090012"
"DHB INDUSTRIES","DHB","899166"
"DIAMONDS TRUST STK UN","DIA","0001041130"
"DIASYS","DYX","916380"
"DIGITAL ANGEL","DOC","0000771252"
"DIGITAL POWER","DPW","0000896493"
"DIOMED HOLDINGS","DIO","0001074874"
"DIV CP RSC","HIR","779226"
"DIVERS SEC SOLN","DVS","0001099918"
"DIXON TICONDEROG","DXT","14995"
"DJ US FINL IDX","IYF","0001274214"
"DJ US REAL EST","IYR","938179"
"DJ US TECHNOL","IYW","0001274214"
"DJ US TELECOMM","IYZ","0001274214"
"DOR BIOPHARMA","DOR","812796"
"DREW INDUSTRIES","DW","0000763744"
"DREYFUS CALIF","DCG","839123"
"DREYFUS MUNI","DMF","839122"
"DREYFUS NY MUNI INC FD","DNM","839124"
"DRIVER HARRIS","DRH","0001298946"
"DRYCLEAN USA","DCU","0000065312"
"DYNAMEX","DDN","1015483"
"E VANCE INS CA","EIA","1196869"
"E VANCE INS FL","EIF","1196870"
"E VANCE INS II","EIV","1196867"
"E VANCE INS MI","MIW","1196872"
"E VANCE INS NJ","EMJ","1196874"
"E VANCE INS NY","NYH","1196875"
"E VANCE INS OHIO","EIO","1196876"
"E VANCE INS PA","EIP","1196877"
"EAGLE BROADBAND","EAG","1023139"
"EARL SCHEIB","ESH","87196"
"EASTERN","EML","0000031107"
"EATON INS CAL","EVM","1177161"
"EATON INS MUNI","EIM","1176984"
"EATON VANCE CA MUNI INCM FD","CEV","1074692"
"EATON VANCE FL MUNI INCM FD","FEV","1074684"
"EATON VANCE INSRD NY FD","ENX","1177162"
"EATON VANCE MA MUNI INCM FD","MMV","1074690"
"EATON VANCE MI MUNI INCM FD","EMI","1074688"
"EATON VANCE NY MUNI INCM FD","EVY","1074685"
"EATON VANCE OH MUNI INCM FD","EVO","1074686"
"EATON VANCE PA MUNI INCM FD","EVP","1074687"
"ECC INTL","ECC","31660"
"ECHO BAY MINES","ECO","722080"
"ECOLOGY","EEI","0000809933"
"EDT LEARNING","EDT","1042291"
"EFC BANCORP","EFC","0001047947"
"ELECSYS","ASY","0000914398"
"ELECTRIC CITY","ELC","1065860"
"ELITE PHARM","ELI","0001053369"
"ELLSWORTH CON GRTH AND INC FD","ECF","793040"
"EMAGIN","EMA","1046995"
"EMERITUS","ESC","0001001604"
"EMERSON RADIO","MSN","0000032621"
"EMPIRE FINL HLDG","EFH","0001094320"
"EMPIRE RESOURCES","ERS","0001019272"
"ENERGY PWR SYS","EGY","0000894627"
"ENERGY SELECT SPDR ETF","XLE","1064641"
"ENGEX","EGX","32598"
"ENGLOBAL CORP","ENG","0000933738"
"ENVIR ELEMENTS","EEC","895421"
"ENVIR TECTONICS","ETC","0000033113"
"EPICEDGE","EDG","313041"
"EQUIDYNE","IJX","352281"
"EQUIFIN","II","1316925"
"EQUITY INC FUND","ATF","718418"
"ERESOURCE CAP","RCG","0000722839"
"ESPEY MFG","ESP","0000033533"
"ETF ADVISORS TREASURY","TFT","886346"
"ETF ADVISORS TREASURY","TTE","750004"
"ETF ADVISORS TREASURY","TOU","1193407"
"ETF ADVISORS TREASURY","TFI","1368879"
"ETN VNC MA MUNI","MAB","1196871"
"ETZ LAVUD","ETZ","33681"
"ETZ LAVUD STK A","ETZ.A","33681"
"EUROPE 2001 ETF ADR","EKH","1129492"
"EV NJ MUNI INCM","EVJ","1074691"
"EXX STK A","EXX.A","89261"
"EXX STK B","EXX.B","89261"
"EZ EM","EZM","0001092840"
"FAB INDUSTRIES","FIT","0000034136"
"FALMOUTH BANCORP","FCB","1027280"
"FARMSTEAD TELEP","FTG","804331"
"FINANCIAL SELECT SPDR ETF","XLF","1339869"
"FIRST AMRCN MINN","MXN","1183829"
"FIRST CITY BANK","FBK","1221429"
"FIRSTFED AMER","FAB","1023640"
"FIVE STAR QUAL","FVE","0001075415"
"FLANIGANS ENTER","BDL","0000012040"
"FLEX SOLUTIONS","FSI","0001069394"
"FLORIDA PUB UTIL","FPU","0000037643"
"FOODARAMA","FSM","0000037914"
"FORTUNE 500 INDEX FD","FFF","939047"
"FORTUNE E 50 INDEX FD","FEF","745968"
"FRANKLIN CAPITAL","FKL","812301"
"FRANKLIN ELECT","FEP","0000356841"
"FREQUENCY","FEI","39020"
"FRIEDMAN INDS","FRD","0000039092"
"FRIENDLY ICE CRE","FRN","0000039135"
"FRISCHS RESTAUR","FRS","0000039047"
"FRONTLINE COMMS","FNT","0001331875"
"FST NATIONAL","FNC","811589"
"FST W VIRGINIA","FWV","0000037049"
"FURRS RESTAURANT","FRG","1271129"
"GA FINANCIAL","GAF","1005313"
"GALAXY NUTRITIONAL","GXY","0000819527"
"GB HOLDINGS","GBH","912926"
"GEN EMPLOYMENT","JOB","0000040570"
"GENESIS BIOVENT","GBI","1084966"
"GENESIS ENERGY","GEL","0001022321"
"GENETRONICS BIO","GEB","0001055726"
"GENSTAR THERA","GNT","1003929"
"GLACIER WATER","HOO","883505"
"GLOBAL INCOME","GIF","1031235"
"GOLDFIELD","GV","0000042316"
"GOLF TRUST AMER","GTA","0001024126"
"GORMAN RUPP","GRC","0000042682"
"GOUVERNEUR BNCP","GOV","0001063942"
"GRAHAM","GHM","0000716314"
"GREENBRIAR","GBR","0000105744"
"GREENMAN TECH","GRN","932699"
"GREY WOLF","GW","0000320186"
"GRISTEDES FOODS","GRI","0000028325"
"GRUPO SIMEC ADR","SIM","887153"
"GSE SYSTEMS","GVP","0000944480"
"HALIFAX","HX","0000720671"
"HALLMARK FINCL","HAF","819913"
"HALLWOOD GROUP","HWG","0000355766"
"HALLWOOD REALTY UNT","HRY","865439"
"HANOVER CAP","HCM","0001040719"
"HANOVER DIRECT","HNV","320333"
"HARKEN ENERGY","HEC","0000313478"
"HAROLDS STORES","HLD","0000818682"
"HASTINGS MFG","HMF","46109"
"HAWAIIAN HLDGS","HA","0001172222"
"HEADWAY CP RSCS","HEA","1203086"
"HEALTH CARE SLCT SECTOR SPDR F","XLV","1103052"
"HEARTLAND PTNRS","HTL","843964"
"HEARUSA","EAR","0000821536"
"HECTORS COMM","HCT","0000863437"
"HEMISPHERX BIO","HEB","0000946644"
"HERSHA HOSPITLTY STK A","HT","0001063344"
"HI SHEAR TECH","HSR","0000918027"
"HLM DESIGN","HMD","1049129"
"HMG COURTLAND","HMG","0000311817"
"HOLLY","HOC","0000048039"
"HOLLYWOOD CASINO STK A","HWD","888245"
"HOOPER HOLMES","HH","0000741815"
"HORIZON MEDICAL","HMP","1052958"
"HSPC","HDR","718909"
"HUNGARIAN TEL","HTC","0000889949"
"I TRAX","DMX","0001110189"
"IA GLOBAL","IAO","0001077634"
"IAMGOLD","IAG","0001203464"
"IDINE REWARDS","IRN","0000078536"
"IGI","IG","0000352998"
"ILX RESORTS","ILX","0000819551"
"IMAGEWARE SYS","IW","941685"
"IMPAC MORTGAGE","IMH","0001000298"
"IMPERIAL OIL","IMO","0000049938"
"IMPERIAL PARKING","IPK","0001103389"
"IMPLANT SCIENCES","IMX","0001068874"
"INCOME OPP RLTY","IOT","0000949961"
"INDUSTRIAL SEL SPDR ETF","XLI","1103045"
"INNSUITES HOSPIT","IHT","0000082473"
"INSITE VISION","ISV","0000802724"
"INTELLI CHECK","IDN","0001040896"
"INTELLIGENT SYS","INS","0000320340"
"INTERLOTT TECH","ILI","0001037649"
"INTERMEDIATE MUNI FUND FD","SBI","882300"
"INTERNET ARCH ETF ADR","IAH","913760"
"INTERNET INFRAST ML ETF ADR","IIH","854062"
"INTERSTATE GEN","IGC","1326205"
"INTL AIR SUPPORT","YLF","859307"
"INTL REMOTE","IRI","319240"
"INV CAP HLDGS","ICH","0001001871"
"INVERNESS MED","IMA","0001145460"
"IOMED","IOX","0001041652"
"IPARTY","IPT","0001078383"
"ISCO INTL","ISO","0000888693"
"ISHARES","EPP","930667"
"ISHARES AUSTRAL","EWA","1221250"
"ISHARES AUSTRIA","EWO","1241572"
"ISHARES BELGIUM","EWK","1224125"
"ISHARES BRAZIL","EWZ","930667"
"ISHARES CANADA","EWC","1243239"
"ISHARES GLDMAN","IGE","49534"
"ISHARES HONG KNG","EWH","1323310"
"ISHARES LEHMAN","IEF","1080658"
"ISHARES MSCI FRN","EWQ","0001179445"
"ISHARES MSCI JAP","EWJ","930667"
"ISHARES MSCI MEX","EWW","1332441"
"ISHARES MSCI S KOREA INDEX FD","EWY","930667"
"ISHARES MSCI SNG","EWS","1205377"
"ISHARES MSCI TAI FD","EWT","930667"
"ISHARES MSCI UK","EWU","1338735"
"ISHARES NETHRLND","EWN","853255"
"ISHARES S&P LAT","ILF","1010481"
"ISHARES S&P/TOPX","ITF","1075158"
"ISHARES SPAIN FD","EWP","1066140"
"ISHARES SWEDEN","EWD","1201545"
"ISHARES TR 20 YR","TLT","1100663"
"ISHARES TREAS BD","SHY","844680"
"ISHARES TRUST","IGN","1101547"
"ISHARES TRUST","IGV","1016526"
"ISHARES TRUST","IYC","821572"
"ISHARES TRUST","IYJ","0001100663"
"ISHARES TRUST","IYK","0001100663"
"ISHARES TRUST","IYM","0001100663"
"ISHARES TRUST COHEN FD","ICF","1100663"
"ISHARES TRUST GLDMN SEMI IDX F","IGW","1198480"
"ISHARES TRUST GOLDMN","IGM","1181545"
"ISHARES TRUST GS INVESTOP FD","LQD","0001179445"
"ISHARES TRUST RUSL 2000 IDX FD","IWM","1089083"
"ISHARES TST","EFA","930667"
"ISHR DJ FINL SVC","IYG","1263660"
"ISHR RUS MDCP","IWR","1356946"
"ISHR RUS MDCP GR","IWP","1195889"
"ISHR RUS MDCP VL","IWS","1300577"
"ISHRS DJ ENERGY","IYE","1185812"
"ISHRS DJ HLTHCRE","IYH","NULL"
"ISHRS DJ TOT MKT","IYY","NULL"
"ISHRS DJ UTL IDX","IDU","1143705"
"ISHS S&P GBL FIN","IXG","NULL"
"ISHS S&P GBL NRG","IXC","1332216"
"ISHS S&P GBL NRG","IXP","1070304"
"ISHS S&P HEALTH","IXJ","NULL"
"ISHS SP GBL IT","IXN","1269504"
"ISOLAGEN","ILE","0000357097"
"IVAX","IVX","0000772197"
"IVAX DIAGNOSTICS","IVD","0001095858"
"J ALEXANDERS","JAX","0000103884"
"JACLYN","JLN","0000052969"
"JOHN HAMM HOTEL STK A","JQH","0000930796"
"JOULE","JOL","798168"
"KADANT","KAI","0000886346"
"KANKAKEE BANK","KNK","891523"
"KEANE","KEA","0000054883"
"KENTUCKY FIRST","KYF","943891"
"KFX","KFX","0000912365"
"KINARK","KIN","55805"
"KING PWR GP","KPG","787690"
"KINROSS GOLD","KGC","0000701818"
"LABARGE","LB","0000057139"
"LADENBURG THALMN","LTS","0001029730"
"LAIDLAW GLOBAL","GLL","1387923"
"LANCER","LAN","0000768162"
"LANNETT","LCI","0000057725"
"LASER TECHNOLOGY","LSR","0001158833"
"LAZARE KAPLAN","LKI","0000202375"
"LCM INTERNET","FND","1281819"
"LEATHER FACTORY","TLF","0000909724"
"LEHMAN S&P SUNS NOTES","SPJ","806085"
"LIFEPOINT","LFP","910523"
"LIFESTREAM TECH","KFL","1234879"
"LILLIAN VERNON","LVC","818008"
"LIONS GATE ENTER","LGF","0000929351"
"LODGIAN INC","LGN","0001066138"
"LUKI CONSTRUCT","LKC","1209893"
"LYNCH","LGL","0000061004"
"LYNCH INTER","LIC","1088771"
"M LYNCH 225MITT","NML","65100"
"MAD CATZ INTRACT","MCZ","0001088162"
"MAGIC LANTERN","GML","0000811933"
"MAGNUM HUNTER","MHR","0000854271"
"MAI SYSTEMS","NOW","760436"
"MAINE PUBLIC SVC","MAP","61611"
"MARINE PRODUCTS","MPX","0001129155"
"MARKWEST ENERGY UN","MWE","0001166036"
"MARLTON","MTY","96988"
"MARNETICS BRD","MXB","0001062447"
"MARWEST HYDRO","MWP","0001019756"
"MASSACHUSSETS HLTH & ED TX EX ","MHE","901824"
"MATERIALS SELECT SECTOR SPDR F","XLB","0001392311"
"MAUI LD PINEAP","MLP","0000063330"
"MAXXAM","MXM","0000063814"
"MAYORS JEWELERS","MYR","0000817946"
"MC SHIPPING","MCX","847831"
"MCRAE STK A","MRI.A","729284"
"MCRAE STK B","MRI.B","729284"
"MEASUREMENT SPCL","MSS","778734"
"MED TECH SYS","MPP","0000823560"
"MEDIX RESOURCES","MXR","890784"
"MEDTOX SCIENT","TOX","739944"
"MEMRY","MRY","0000720896"
"MENATRON","NMN","892832"
"MER LYN TP","MTT","873611"
"MERCHANTS GROUP","MGP","0000803027"
"MERCURY AIR","MAX","0000052532"
"MERITAGE HOSP","MHG","808219"
"MERR LYN EUROP","MEM","0000826683"
"MERRIL LYNCH MRN","MRZ","1029296"
"MERRILL LYNCH","EUF","836043"
"MERRILL LYNCH","MLF","1276116"
"MERRILL LYNCH 8% GAP STRIDES D","GSY","722642"
"MERRILL LYNCH 8% STRIDES BOA","BKC","0001352801"
"MERRILL LYNCH AMGEN STRIDES DE","ASZ","29646"
"MERRILL LYNCH BIO PHARM IDX NT","DMP","1203982"
"MERRILL LYNCH CALLABLE RTN INC","AMW","1041580"
"MERRILL LYNCH CALLABLE RTN INC","EMH","1397098"
"MERRILL LYNCH CONSUMER MITTS","CSM","833226"
"MERRILL LYNCH DEB","SNQ","0001239441"
"MERRILL LYNCH DELL STRIDES DEB","DLE","1251676"
"MERRILL LYNCH DJ MITTS","MDJ","1172531"
"MERRILL LYNCH ENERGY MITTS","ESY","1171357"
"MERRILL LYNCH ETF ADR","MKH","1376822"
"MERRILL LYNCH EUROFUND","EFM","1036221"
"MERRILL LYNCH GROWTH MITTS","GWM","1185517"
"MERRILL LYNCH HEWLETT PCKRD","HSQ","0001239441"
"MERRILL LYNCH INTERNET MITTS","IHM","65100"
"MERRILL LYNCH LKD INDSTRL 15 N","DCV","1253035"
"MERRILL LYNCH MITTS AMEX DFS I","DFM","1042441"
"MERRILL LYNCH MITTS BIOTCHNOLG","BMA","0001347426"
"MERRILL LYNCH MJR 11 INTL MITT","EUM","31063"
"MERRILL LYNCH NASDAQ 100 MITTS","MNM","65100"
"MERRILL LYNCH NIK 225 MITTS","NKM","1194924"
"MERRILL LYNCH NIKKEI 225 MITTS","MLJ","1353265"
"MERRILL LYNCH NIKKEI 225 MKT D","MNK","1225594"
"MERRILL LYNCH NIKKEI MITTS","MLN","1137687"
"MERRILL LYNCH NSDQ 100 LKD NT ","NSD","895421"
"MERRILL LYNCH RTN INCM DBT SEC","XLL","0001239441"
"MERRILL LYNCH RUSSELL 2000 MIT","RRM","1220251"
"MERRILL LYNCH RUSSELL 2000 MIT","RUM","0000098544"
"MERRILL LYNCH S&P","FML","1360111"
"MERRILL LYNCH S&P 500 MITTS","MKP","65100"
"MERRILL LYNCH S&P 500 MITTS","MPF","66904"
"MERRILL LYNCH S&P 500 MITTS 20","MCP","65100"
"MERRILL LYNCH S&P 500 MITTS DE","MLW","65100"
"MERRILL LYNCH SLCT TEN IDX","DSZ","0001239441"
"MERRILL LYNCH SLCT TEN IDX NT ","DMD","1184684"
"MERRILL LYNCH SPDR FUND MITTS","ESM","65100"
"MERRILL LYNCH STR RT NT 10 IND","DSO","65100"
"MERRILL LYNCH STR RT NT 15 (IX","DSE","1182011"
"MERRILL LYNCH STR RT NT DEB","DSN","1053596"
"MERRILL LYNCH STR RT NT OIL NA","OGN","65100"
"MERRILL LYNCH STRATEGIC RETURN","DSI","1100663"
"MERRILL LYNCH STRBCKS CALL DEB","LAT","929173"
"MERRILL LYNCH STRGC RETRN NT L","DTY","65100"
"MERRILL LYNCH STRGC RTN NT SLC","DSA","895421"
"MERRILL LYNCH STRIDES ADOBE 8 ","ADY","789868"
"MERRILL LYNCH STRIDES DEB","BDQ","0001239441"
"MERRILL LYNCH STRIDES DEB","CSN","1140827"
"MERRILL LYNCH STRTGC NTS EURO ","EST","1119353"
"MERRILL LYNCH STRTGC RTN NT LN","DSK","65100"
"MERRILL LYNCH TELEBRAS INDX DE","PGT","832754"
"MERRILL LYNCH TX INS 8% STRIDE","TST","817129"
"MERRIMAC","MRM","0000706864"
"METRO INTL GP","MMG","1031093"
"MICHAEL ANTHONY","MAJ","799515"
"MICHAEL BAKER","BKR","0000009263"
"MID PENN BANCP","MBP","0000879635"
"MIDSOUTH BANC","MSL","0000745981"
"MILESTONE SCIEN","MS","0000895421"
"MINE SAFETY APPL","MSA","0000066570"
"MINNESOTA MUNI INC PORT FD","MXA","902748"
"MINNESOTA MUNI TRM TR II FD","MNB","882386"
"MIRAMAR MINING","MNG","0000940947"
"MISSION WEST","MSW","0001067419"
"ML BD NDX NOTES DEB","BNX","1184828"
"ML BIOTECH HLDR ETF ADR","BBH","1099569"
"ML BIOTECH IDX NOTES","BPN","65100"
"ML CG 7%STRIDES","CGR","0001173924"
"ML DOW JONES MITTS DEB","MKO","65100"
"ML GLOB MITTS","GMM","1315159"
"ML INDUSTRIAL 15 NOTES","DSP","934545"
"ML INTERNET ETF ADR","HHH","351685"
"ML MITTS BIO","BHM","1083107"
"ML MITTS BRDBAND","BDM","65100"
"ML SEL TEN IDX DEB","DSJ","1392009"
"MONTANA MILLS","MMX","1065506"
"MOORE MEDICAL","MMD","74691"
"MORGAN STANLEY 10% QTRLY RDMTN","MQC","1368719"
"MORGAN STANLEY 10% SPARKS DEB","SBM","895421"
"MORGAN STANLEY 10% SPARQS","MSP","1317080"
"MORGAN STANLEY 3% 08/03 TRIGGE","TGM","1229967"
"MORGAN STANLEY 7% SPARQS CNV P","SQK","0001277774"
"MORGAN STANLEY 8% QTRLY RDMTN ","MOR","729600"
"MORGAN STANLEY 8% SPARQS DEB","TIS","0001324189"
"MORGAN STANLEY BRIDGES","BGD","1366733"
"MORGAN STANLEY BRIDGES","TPA","895421"
"MORGAN STANLEY DEFENSE BRIDGES","DFB","1225144"
"MORGAN STANLEY MIDCP 400 BRIDG","MCB","902789"
"MORGAN STANLEY PERQS NOKIA","RPN","1085522"
"MORGAN STANLEY PHARM IDX BRIDG","DRU","1249681"
"MORGAN STANLEY SPARQS","BCQ","1084927"
"MORGAN STANLEY SPARQS DEB","SPK","1314475"
"MORGAN STANLEY SPARQS GAP DEB","MGY","0001277774"
"MORGANS FOODS","MR","0001373060"
"MOVIE STAR","MSI","0000093631"
"MRGN STNLY PERKS","BTP","886183"
"MS DEAN WITTER","PKA","793982"
"MS DEAN WITTER BASKET EXCH SEC","BXB","895421"
"MS DEAN WITTER DEB","MJP","1392300"
"MS DEAN WITTER DEB","RPX","0001021907"
"MS DEAN WITTER PERKS NAS 100 D","PPN","1389552"
"MS DEAN WITTER RUSL 2000 BRIDG","RBG","1293283"
"MS DEAN WITTER S&P 500 BRIDGES","BRD","81764"
"MS DEAN WT 6%","RCP","1370550"
"MS DJ INDSTL AV","DMJ","1240992"
"MS DW BOXES","RXB","1115295"
"MS HI TECH","MTK","1228740"
"MS INTERNET IDX","MII","0001092050"
"MSCI EMU IDX FD","EZU","NULL"
"MUNIINSURED FD","MIF","818436"
"MUNIVEST FD","MVF","835948"
"MUNIYIELD ARIZONA FD","MZA","911308"
"N AMER PALLADIUM","PAL","887701"
"NABORS","NBR","0001163739"
"NASDAQ 100 TRUST ETF","QQQ","1067839"
"NATIONAL HEALTH","NHC","0001047335"
"NATIONAL VISION","NVI","0000868263"
"NATL BEVERAGE","FIZ","0000069891"
